p_name,release_date,specs,price_bdt,category,source
Samsung Galaxy S25 FE,2026,Samsung Galaxy S25 FE | Review: 👍 High Demand,60990,smartphone,Dazzle
Samsung Galaxy F36,2026,Samsung Galaxy F36 | Review: 🛍️ Top Selling,23990,smartphone,Dazzle
iPhone Air,2026,iPhone Air | Review: 🔥 Hot Product,114444,smartphone,Dazzle
Google Pixel 10 Pro,2026,Google Pixel 10 Pro | Review: 🔥 Hot Product,105990,smartphone,Dazzle
iPhone 17 Pro,2026,iPhone 17 Pro | Review: 🔥 Hot Product,155888,smartphone,Dazzle
iPhone 17,2026,iPhone 17 | Review: 🔥 Hot Product,101990,smartphone,Dazzle
Samsung Galaxy M36,2026,Samsung Galaxy M36 | Review: 🔥 Hot Product,23990,smartphone,Dazzle
iPhone 17 Pro Max,2026,iPhone 17 Pro Max | Review: 🔥 Hot Product,165888,smartphone,Dazzle
iQOO Z10 Lite,2026,iQOO Z10 Lite | Review: 🛍️ Top Selling,14222,smartphone,Dazzle
Motorola G96,2026,Motorola G96 | Review: 🔥 Hot Product,26990,smartphone,Dazzle
Realme 15,2026,Realme 15 | Review: ,34990,smartphone,Dazzle
Google Pixel 10,2026,Google Pixel 10 | Review: ,75990,smartphone,Dazzle
Tecno Spark 40C,2026,Tecno Spark 40C | Review: ,15490,smartphone,Dazzle
Vivo Y19s GT,2026,Vivo Y19s GT | Review: ,17990,smartphone,Dazzle
Vivo Y400 5G,2026,Vivo Y400 5G | Review: ,31990,smartphone,Dazzle
Vivo Y400,2026,Vivo Y400 | Review: ,30990,smartphone,Dazzle
Vivo T4R,2026,Vivo T4R | Review: ,27990,smartphone,Dazzle
Realme 15 Pro,2026,Realme 15 Pro | Review: ,41490,smartphone,Dazzle
Infinix GT 30,2026,Infinix GT 30 | Review: ,32990,smartphone,Dazzle
Realme Note 70T,2026,Realme Note 70T | Review: ,17990,smartphone,Dazzle
Realme Narzo 80 Lite 5G,2026,Realme Narzo 80 Lite 5G | Review: ,17990,smartphone,Dazzle
Oppo K13 Turbo,2026,Oppo K13 Turbo | Review: ,29990,smartphone,Dazzle
Oppo K13 Turbo Pro,2026,Oppo K13 Turbo Pro | Review: ,34990,smartphone,Dazzle
Oppo Find N3,2026,Oppo Find N3 | Review: ,203590,smartphone,Dazzle
Oppo F27 Pro Plus,2026,Oppo F27 Pro Plus | Review: ,33590,smartphone,Dazzle
Tecno Spark Go,2026,Tecno Spark Go | Review: ,18990,smartphone,Dazzle
Samsung Galaxy A07,2026,Samsung Galaxy A07 | Review: ,13990,smartphone,Dazzle
Google Pixel 10 Pro Fold,2026,Google Pixel 10 Pro Fold | Review: ,229990,smartphone,Dazzle
Google Pixel 10 Pro XL,2026,Google Pixel 10 Pro XL | Review: ,122990,smartphone,Dazzle
Realme P4,2026,Realme P4 | Review: ,28990,smartphone,Dazzle
Realme P4 Pro,2026,Realme P4 Pro | Review: ,42990,smartphone,Dazzle
Infinix Hot 60i 5G,2026,Infinix Hot 60i 5G | Review: ,19990,smartphone,Dazzle
Oppo A3x 5G,2026,Oppo A3x 5G | Review: ,17590,smartphone,Dazzle
Xiaomi Poco M7,2026,Xiaomi Poco M7 | Review: ,21990,smartphone,Dazzle
Xiaomi Poco M7 Plus,2026,Xiaomi Poco M7 Plus | Review: ,23990,smartphone,Dazzle
Vivo V60,2026,Vivo V60 | Review: ,46999,smartphone,Dazzle
Vivo V50 Lite 5G,2026,Vivo V50 Lite 5G | Review: ,29490,smartphone,Dazzle
Vivo V50 Lite,2026,Vivo V50 Lite | Review: ,27490,smartphone,Dazzle
Vivo X200 FE,2026,Vivo X200 FE | Review: ,69899,smartphone,Dazzle
Vivo X Fold5,2026,Vivo X Fold5 | Review: ,124990,smartphone,Dazzle
Oppo Reno14 F,2026,Oppo Reno14 F | Review: ,44990,smartphone,Dazzle
Oppo K13x,2026,Oppo K13x | Review: ,17990,smartphone,Dazzle
Tecno Pova 7 Ultra,2026,Tecno Pova 7 Ultra | Review: ,32990,smartphone,Dazzle
Tecno Pova 7,2026,Tecno Pova 7 | Review: ,23990,smartphone,Dazzle
Tecno Spark Go 2,2026,Tecno Spark Go 2 | Review: ,14990,smartphone,Dazzle
Vivo T4 Lite,2026,Vivo T4 Lite | Review: ,18990,smartphone,Dazzle
Xiaomi Poco F7,2026,Xiaomi Poco F7 | Review: ,45977,smartphone,Dazzle
Vivo Y400 Pro,2026,Vivo Y400 Pro | Review: ,37999,smartphone,Dazzle
Infinix Smart 10 HD,2026,Infinix Smart 10 HD | Review: ,11990,smartphone,Dazzle
Infinix Smart 10 Plus,2026,Infinix Smart 10 Plus | Review: ,13490,smartphone,Dazzle
Infinix Smart 10,2026,Infinix Smart 10 | Review: ,12490,smartphone,Dazzle
Realme Narzo 80 Lite,2026,Realme Narzo 80 Lite | Review: ,14990,smartphone,Dazzle
Vivo T4 Ultra,2026,Vivo T4 Ultra | Review: ,62990,smartphone,Dazzle
Samsung Galaxy Z Flip 7 FE,2026,Samsung Galaxy Z Flip 7 FE | Review: ,73990,smartphone,Dazzle
Oppo A3x,2026,Oppo A3x | Review: ,13190,smartphone,Dazzle
Oppo A3 5G,2026,Oppo A3 5G | Review: ,19890,smartphone,Dazzle
Oppo A3,2026,Oppo A3 | Review: ,14990,smartphone,Dazzle
Infinix Hot 60 Pro,2026,Infinix Hot 60 Pro | Review: ,22990,smartphone,Dazzle
Infinix Hot 60 Pro Plus,2026,Infinix Hot 60 Pro Plus | Review: ,24990,smartphone,Dazzle
Infinix Hot 60,2026,Infinix Hot 60 | Review: ,17990,smartphone,Dazzle
Samsung Galaxy Z Fold 7,2026,Samsung Galaxy Z Fold 7 | Review: ,176990,smartphone,Dazzle
