url,name,price_bdt,category,image_url,processor,generation,ram,storage,graphics_memory,gpu,display_inch,color,processor,camera_front,camera_rear,battery_mah,network,display_type,processor,storage,os
https://www.ryans.com/acer-aspire-15-as15-42-amd-ryzen-3-7330u-laptop,Acer Aspire 15 AS15-42 AMD Ryzen 3 7330U 8GB,56500,laptop,https://www.ryans.com/storage/products/small/acer-aspire-15-as15-42-amd-ryzen-3-7330u-8gb-ram-21766232805.webp,Ryzen 3,Ryzen,8GB,512GB SSD,Shared,AMD Radeon Graphics,15.6,Pure Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-53-13th-gen-intel-core-i3-1305u-laptop,Acer Aspire 3 A325-53 13th Gen Intel Core i3,58000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-53-13th-gen-intel-core-i3-11738586992.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Blue,,,,,,,,,
https://www.ryans.com/tecno-megabook-k16s-amd-ryzen-5-7430u-16gb-ram-slim-laptop,TECNO Megabook K16S AMD Ryzen 5 7430U 16GB RA,61900,laptop,https://www.ryans.com/storage/products/small/tecno-megabook-k16s-amd-ryzen-5-7430u-16gb-ram-11747139208.webp,Ryzen 5,Ryzen,16GB,512GB SSD,Shared,AMD Radeon Graphics,16,Galaxy Silver,,,,,,,,,
https://www.ryans.com/smart-flairedge-13th-gen-intel-core-i5-1335u-laptop,Smart Flairedge 13th Gen Intel Core i5 1335U,64500,laptop,https://www.ryans.com/storage/products/small/smart-flairedge-13th-gen-intel-core-i5-1335u-8gb-11741768982.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-15-as15-42-amd-ryzen-5-7430u-512gb-ssd-laptop,Acer Aspire 15 AS15-42 AMD Ryzen 5 7430U 8GB,66500,laptop,https://www.ryans.com/storage/products/small/acer-aspire-15-as15-42-amd-ryzen-5-7430u-8gb-ram-11764651771.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon Graphics,15.6,Pure Silver,,,,,,,,,
https://www.ryans.com/smart-flairedge-intel-core-i7-1255u-laptop,Smart Flairedge Intel Core i7 1255U 8GB RAM 5,68500,laptop,https://www.ryans.com/storage/products/small/smart-flairedge-intel-core-i7-1255u-8gb-ram-512gb-11741682827.webp,Core i7,12th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,16,Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-53-intel-core-i5-1334u-laptop,Acer Aspire 3 A325-53 Intel Core i5 1334U 8GB,69900,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-53-intel-core-i5-1334u-8gb-ram-11764649499.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Pure Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-53-intel-core-i5-1334u-16gb-ram-laptop,Acer Aspire 3 A325-53 Intel Core i5 1334U 16G,70000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-53-intel-core-i5-1334u-16gb-11764240815.webp,Core i5,13th (Intel),16GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/tecno-megabook-t14-air-intel-core-i5-1334u-16gb-ram-laptop,TECNO Megabook T14 Air Intel Core i5 1334U 16,71900,laptop,https://www.ryans.com/storage/products/small/tecno-megabook-t14ra-air-intel-core-i5-1334u-16gb-11764407349.webp,Core i5,13th (Intel),16GB,512GB SSD,Shared,Intel Iris Xe Graphics,14,Moonshine Silver,,,,,,,,,
https://www.ryans.com/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-1334u-laptop,Acer Aspire Lite AL15-53 13th Gen Intel Core,73000,laptop,https://www.ryans.com/storage/products/small/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-11764241292.webp,Core i5,13th Standard (Intel),16GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Steel Gray,,,,,,,,,
