name,price_bdt,brand,processor,generation,ram_gb,storage,gpu,gpu_memory,display_inch,url,shop
Acer ALG Gaming-AL15G-53,110000,Acer,Core i5,13th (Intel),16,1TB SSD,Nvidia RTX 3050 Graphics,6GB,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 15 AS15-42,56500,Acer,Ryzen 3,Ryzen,8,512GB SSD,AMD Radeon Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 15 AS15-42,66000,Acer,Ryzen 5,Ryzen,8,512GB SSD,AMD Radeon Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A324-31,46000,Acer,Core N100,12th Standard (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-45,37900,Acer,Intel Celeron,Celeron Series,8,512GB,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-45,40800,Acer,Intel Celeron,Celeron Series,12,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,58000,Acer,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,69900,Acer,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,70000,Acer,Core i5,13th (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,55900,Acer,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,55900,Acer,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire 3 A325-53,68000,Acer,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire Go 14 AG14-71M,104000,Acer,Core Ultra 5,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire Lite AL15-31,42900,Acer,Core N100,12th Standard (Intel),8,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire Lite AL15-52H,77000,Acer,Core i5,13th (Intel),16,512GB SSD,Intel UHD Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire Lite AL15-53,73000,Acer,Core i5,13th Standard (Intel),16,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Aspire Lite AL15-53,69000,Acer,Core i5,13th Standard (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,15.6,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Predator Helios Neo 16S AI PHN16S-71,325000,Acer,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Predator Helios Neo 16S AI PHN16S-71,360000,Acer,Core Ultra 9,Ultra,32,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Predator Helios Neo 16S AI PHN16S-71,285000,Acer,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5050 Graphics,8GB,16.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Predator Helios Neo 16S AI PHN16S-71,340000,Acer,Core Ultra 9,Ultra,16,1TB SSD,Nvidia RTX 5070 Graphics,8GB,16.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Predator Helios Neo 16S AI PHN16S-71-73W,279900,Acer,Core Ultra 7,Ultra,16,1TB SSD,Nvidia RTX 5060 Graphics,8GB,16.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Swift Go 14 SFG14-73 Series 1,146000,Acer,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Swift Go 14 SFG14-73 Series 1,148000,Acer,Core Ultra 7,Ultra,16,1TB SSD,Intel Arc Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer Swift Lite SFL14-54M Series 1,107000,Acer,Core Ultra 5,Ultra,16,512GB SSD,Intel Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer TravelLite TL14-52M-i3,61000,Acer,Core i3,13th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer TravelLite TL14-52M-i5,83000,Acer,Core i5,13th (Intel),8,512GB SSD,Intel Iris Xe Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer TravelLite TL24-53M Series 1,118000,Acer,Core 7,Core Series 1,16,512GB SSD,Intel Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer TravelMate P214-54,54900,Acer,Core i3,12th (Intel),8,512GB SSD,Intel UHD Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
Acer TravelMate P6 TMP-614-53,120000,Acer,Core i5,13th (Intel),16,1TB SSD,Intel Iris Xe Graphics,Shared,14.0,https://www.ryans.com/category/laptop-all-laptop?limit=100&sort=D&osp=1&st=0,Ryans
