name,category,sub_category,brand,price_bdt,processor,generation,ram_gb,storage,gpu,gpu_memory,display_inch,battery_mah,camera_mp,url,shop,popularity
Samsung Galaxy S25 FE,smartphone,flagship_phone,Samsung,60990,Exynos 2400,,8,128/256/512,,,6.7,4900,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy F36,smartphone,smartphone,Samsung,23990,Exynos 1380,,6,128/256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,3
iPhone Air,smartphone,flagship_phone,Apple,114444,A19 Pro,,12,256/512/1TB,,,6.5,3149,48,https://dazzle.com.bd/categories/phones,Dazzle,0
Google Pixel 10 Pro,smartphone,flagship_phone,Google,105990,Tensor G5,,16,128/256/512/1TB,,,6.3,4870,50,https://dazzle.com.bd/categories/phones,Dazzle,0
iPhone 17 Pro,smartphone,flagship_phone,Apple,155888,A19 Pro,,12,256/512/1TB,,,6.3,4000,48,https://dazzle.com.bd/categories/phones,Dazzle,0
iPhone 17,smartphone,flagship_phone,Apple,101990,A19,,8,128/256/512,,,6.1,3500,48,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy M36,smartphone,smartphone,Samsung,23990,Exynos 1380,,6,128/256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
iPhone 17 Pro Max,smartphone,flagship_phone,Apple,165888,A19 Pro,,12,256/512/1TB,,,6.9,4823,48,https://dazzle.com.bd/categories/phones,Dazzle,0
iQOO Z10 Lite,smartphone,smartphone,iQOO,14222,Dimensity 6300,,6,128,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,3
Motorola G96,smartphone,smartphone,Motorola,26990,Snapdragon 7s Gen 3,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,4
Realme 15,smartphone,smartphone,Realme,34990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Google Pixel 10,smartphone,smartphone,Google,75990,Tensor G5,,12,128/256,,,6.1,4700,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark 40C,smartphone,smartphone,Tecno,15490,Helio G81,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y19s GT,smartphone,smartphone,Vivo,17990,Dimensity 7025,,8,256,,,6.7,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y400 5G,smartphone,smartphone,Vivo,31990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo Y400,smartphone,smartphone,Vivo,30990,Dimensity 7025,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Vivo T4R,smartphone,smartphone,Vivo,27990,Snapdragon 7 Gen 3,,8,256,,,6.7,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme 15 Pro,smartphone,smartphone,Realme,41490,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Infinix GT 30,smartphone,smartphone,Infinix,32990,Dimensity 7300,,8,256,,,6.78,5000,108,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme Note 70T,smartphone,smartphone,Realme,17990,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Realme Narzo 80 Lite 5G,smartphone,smartphone,Realme,17990,Dimensity 6300,,6,128,,,6.67,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo K13 Turbo,smartphone,smartphone,Oppo,29990,Dimensity 7300,,8,256,,,6.7,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo K13 Turbo Pro,smartphone,smartphone,Oppo,34990,Dimensity 8300,,12,512,,,6.7,5500,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo Find N3,smartphone,flagship_phone,Oppo,203590,Snapdragon 8 Gen 3,,16,512,,,7.82,4805,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Oppo F27 Pro Plus,smartphone,smartphone,Oppo,33590,Dimensity 7050,,8,256,,,6.7,5000,64,https://dazzle.com.bd/categories/phones,Dazzle,0
Tecno Spark Go,smartphone,smartphone,Tecno,18990,Helio G85,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
Samsung Galaxy A07,smartphone,smartphone,Samsung,13990,Exynos 850,,4,128,,,6.6,5000,50,https://dazzle.com.bd/categories/phones,Dazzle,0
